Série,Ano,Nota TVMaze,Streaming/Canal,Status,Gêneros,Link IMDB
Breaking Bad,2008,9.2,AMC,Ended,"Drama, Crime, Thriller",https://www.imdb.com/title/tt0903747/
Breaking Bad,2008,9.2,AMC
The Sopranos,1999,8.8,HBO,Ended,"Drama, Crime",https://www.imdb.com/title/tt0141842/
The Sopranos,1999,8.8,HBO
The Wire,2002,8.9,HBO,Ended,"Drama, Crime",https://www.imdb.com/title/tt0306414/
The Wire,2002,8.9,HBO
Chernobyl,2019,8.9,HBO,Ended,"Drama, History",https://www.imdb.com/title/tt7366338/
Chernobyl,2019,8.9,HBO
Band of Brothers,2001,9,HBO,Ended,"Drama, Action, War",https://www.imdb.com/title/tt0185906/
Band of Brothers,2001,9,HBO
Game of Thrones,2011,8.9,HBO,Ended,"Drama, Adventure, Fantasy",https://www.imdb.com/title/tt0944947/
Game of Thrones,2011,8.9,HBO
House of the Dragon,2022,7.6,HBO
Succession,2018,7.5,HBO
The White Lotus,2021,6.9,HBO
The Bear,2022,7.4,Hulu
Severance,2022,7.6,Apple TV
The Last of Us,2023,7.9,HBO
Fallout,2024,7.9,Prime Video
Daredevil: Born Again,2025,7.5,Disney+
Stranger Things,2016,8.4,Netflix,Ended,"Drama, Horror, Science-Fiction",https://www.imdb.com/title/tt4574334/
Stranger Things,2016,8.4,Netflix
Peacemaker,2022,7.8,HBO Max
The Boys,2019,8.3,Prime Video,Ended,"Action, Fantasy, Adult",https://www.imdb.com/title/tt1190634/
The Boys,2019,8.3,Prime Video
Dark,2017,8.2,Netflix,Ended,"Drama, Science-Fiction, Supernatural",https://www.imdb.com/title/tt5753856/
Dark,2017,8.2,Netflix
MINDHUNTER,2017,8.4,Netflix,Ended,"Drama, Crime, Thriller",https://www.imdb.com/title/tt5290382/
MINDHUNTER,2017,8.4,Netflix
True Detective,2014,8.1,HBO,Running,"Drama, Crime, Thriller",https://www.imdb.com/title/tt2356777/
True Detective,2014,8.1,HBO
Fargo,2014,8.6,FX,To Be Determined,"Drama, Comedy, Crime",https://www.imdb.com/title/tt2802850/
Fargo,2014,8.6,FX
Better Call Saul,2015,8.6,AMC,Ended,"Drama, Crime, Legal",https://www.imdb.com/title/tt3032476/
Better Call Saul,2015,8.6,AMC
Arcane: League of Legends,2021,8.5,Netflix,Ended,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt11126994/
Arcane: League of Legends,2021,8.5,Netflix
Black Mirror,2011,8.4,Netflix,Running,"Drama, Science-Fiction, Thriller",https://www.imdb.com/title/tt2085059/
Black Mirror,2011,8.4,Netflix
The Office,2005,8.5,NBC,Ended,Comedy,https://www.imdb.com/title/tt0386676/
The Office,2005,8.5,NBC
Avatar: The Last Airbender,2024,7.4,Netflix
Shōgun,2024,8.5,Hulu,Running,"Drama, Adventure, History",https://www.imdb.com/title/tt2788316/
Shōgun,2024,8.5,Hulu
